,Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Laptop_ID,Storage Size (GB),Disk Type,Disk Type Numeric,Processor Rank,GPU Rank,Brand Score,Log Price,Performance Score
39,Microsoft,Intel i3,8,2TB SSD,Nvidia RTX 2060,15.6,2560x1440,5.0,3.48,macOS,1083.11,39,2048.0,SSD,1,1,5,1975.2035489361701,6.988514652866009,2.758099104772711
40,Samsung,Intel i9,32,1TB SSD,Integrated,16.0,3840x2160,7.6,1.32,FreeDOS,3323.89,40,1024.0,SSD,1,4,1,1959.007248495271,8.109191869835943,9.929445566708026
41,Asus,AMD Ryzen 5,4,512GB SSD,Nvidia GTX 1650,16.0,3840x2160,11.6,3.38,FreeDOS,1759.04,41,512.0,SSD,1,2,2,1927.3151416309015,7.473091815046664,1.6465377778123549
42,Dell,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3060,13.3,1920x1080,8.0,2.69,macOS,990.18,42,1024.0,SSD,1,2,6,1972.2702222222224,6.898896152548812,1.8787379572613692
43,Apple,Intel i9,32,2TB SSD,Nvidia GTX 1650,17.3,2560x1440,5.7,1.83,Windows,5373.59,43,2048.0,SSD,1,4,2,2915.3642789223454,8.5894375710167,9.987495611570278
44,Acer,Intel i7,16,256GB SSD,Integrated,16.0,2560x1440,6.6,3.39,Linux,1332.62,44,256.0,SSD,1,3,1,1914.1085150214592,7.19565232832473,5.191423304356556
45,Microsoft,AMD Ryzen 3,32,512GB SSD,Nvidia GTX 1650,16.0,1366x768,11.3,1.83,FreeDOS,1161.02,45,512.0,SSD,1,1,2,1975.2035489361701,7.0579151489676955,9.394469115856026
46,Lenovo,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,10.0,2.07,macOS,2256.02,46,1024.0,SSD,1,2,2,1978.465790393013,7.721800638098611,5.051797850647393
47,MSI,Intel i9,16,1TB SSD,Integrated,17.3,3840x2160,10.3,3.16,Windows,3116.24,47,1024.0,SSD,1,4,1,2517.552226890756,8.04470327391582,5.3890988029279745
48,Acer,AMD Ryzen 9,16,2TB SSD,Integrated,14.0,2560x1440,4.5,2.09,FreeDOS,1748.58,48,2048.0,SSD,1,4,1,1914.1085150214592,7.467131038112951,5.3890988029279745
49,Asus,Intel i5,64,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,10.3,1.4,Windows,2521.5,49,512.0,SSD,1,2,6,1927.3151416309015,7.833005752227764,18.90503832143656
50,HP,AMD Ryzen 9,32,1TB SSD,Nvidia RTX 2060,16.0,2560x1440,9.6,3.2,FreeDOS,3493.59,50,1024.0,SSD,1,4,5,1938.5187334437085,8.158971337343011,10.16164574615704
51,HP,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,17.3,1366x768,11.1,2.2,macOS,1298.68,51,512.0,SSD,1,3,6,1938.5187334437085,7.169873359302644,5.481673528667825
52,HP,AMD Ryzen 5,64,512GB SSD,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87,52,512.0,SSD,1,2,1,1938.5187334437085,7.732750561227002,18.61478809712529
53,Asus,Intel i3,8,256GB SSD,Nvidia GTX 1650,14.0,1366x768,4.8,1.48,macOS,765.95,53,256.0,SSD,1,1,2,1927.3151416309015,6.642421610194118,2.58394897018595
54,Asus,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,16.0,1920x1080,7.5,2.53,Windows,3217.82,54,256.0,SSD,1,3,4,1927.3151416309015,8.076770111748386,18.98661373028347
55,Lenovo,Intel i3,16,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,4.6,2.32,Windows,1261.48,55,512.0,SSD,1,1,4,1978.465790393013,7.140833319439877,4.970222441800483
56,Asus,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6800,13.3,2560x1440,8.2,2.15,FreeDOS,1866.8,56,1024.0,HDD,0,4,4,1927.3151416309015,7.532516546675618,3.2930755556247098
57,Lenovo,Intel i7,4,256GB SSD,Integrated,13.3,3840x2160,7.8,1.23,macOS,1377.57,57,256.0,SSD,1,3,1,1978.465790393013,7.228802009007751,1.7861632315215186
58,Asus,AMD Ryzen 7,8,2TB SSD,Nvidia GTX 1650,13.3,3840x2160,8.1,2.06,macOS,2031.19,58,2048.0,SSD,1,3,2,1927.3151416309015,7.616869308264159,2.979299967328785
59,MSI,AMD Ryzen 3,16,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,6.2,1.22,macOS,2139.88,59,2048.0,SSD,1,1,6,2517.552226890756,7.66897223844347,5.08632253152499
60,Lenovo,Intel i3,64,256GB SSD,Nvidia RTX 3080,17.3,2560x1440,5.3,3.22,Linux,2751.07,60,256.0,SSD,1,1,7,1978.465790393013,7.9201086347762555,18.7654128677274
61,Lenovo,Intel i7,4,2TB SSD,Integrated,16.0,3840x2160,6.2,2.52,Windows,1524.94,61,2048.0,SSD,1,3,1,1978.465790393013,7.330365892591725,1.7861632315215186
62,Acer,AMD Ryzen 3,32,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,6.3,2.12,Windows,1930.67,62,2048.0,SSD,1,1,4,1914.1085150214592,7.566140192729793,9.510569205580534
63,Asus,AMD Ryzen 7,8,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,7.8,1.67,macOS,1267.84,63,1024.0,HDD,0,3,7,1927.3151416309015,7.145858376234853,3.269550191640053
64,Apple,Intel i5,64,512GB SSD,Nvidia RTX 3080,14.0,3840x2160,10.9,2.25,Windows,5768.75,64,512.0,SSD,1,2,7,2915.3642789223454,8.660384031007153,18.963088366298816
65,Dell,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 3060,13.3,2560x1440,4.3,2.5,macOS,951.4,65,512.0,SSD,1,1,6,1972.2702222222224,6.858985114612707,2.816149149634964
66,Samsung,AMD Ryzen 5,8,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,9.4,2.01,Linux,625.2,66,1024.0,HDD,0,2,4,1959.007248495271,6.4396698088923054,2.897724558481875
67,Microsoft,Intel i9,16,512GB SSD,Nvidia GTX 1650,17.3,1920x1080,4.4,1.87,FreeDOS,2113.77,67,512.0,SSD,1,4,2,1975.2035489361701,7.656701338522073,5.447148847790229
68,HP,AMD Ryzen 7,4,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,9.7,1.9,FreeDOS,1310.03,68,2048.0,SSD,1,3,2,1938.5187334437085,7.178568366797076,1.8442132763837722
69,Microsoft,AMD Ryzen 7,32,2TB SSD,Nvidia RTX 3060,14.0,3840x2160,7.0,1.44,macOS,3286.45,69,2048.0,SSD,1,3,6,1975.2035489361701,8.097867467244885,10.022020292447875
70,HP,AMD Ryzen 9,8,256GB SSD,Nvidia GTX 1650,14.0,2560x1440,5.1,1.76,Windows,2080.79,70,256.0,SSD,1,4,2,1938.5187334437085,7.640983379534429,3.1769754659002025
71,Asus,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54,71,1024.0,SSD,1,2,2,1927.3151416309015,7.154255917322992,5.051797850647393
72,Razer,Intel i9,16,256GB SSD,Integrated,14.0,3840x2160,4.6,2.47,FreeDOS,2996.04,72,256.0,SSD,1,4,1,2695.213804444444,8.005380413907611,5.3890988029279745
73,HP,Intel i7,4,1TB HDD,Nvidia GTX 1650,16.0,1366x768,10.1,1.57,Windows,871.35,73,1024.0,HDD,0,3,2,1938.5187334437085,6.771190719525911,1.8442132763837722
74,Acer,Intel i3,64,512GB SSD,AMD Radeon RX 6600,15.6,2560x1440,11.2,2.55,Linux,2768.44,74,512.0,SSD,1,1,3,1914.1085150214592,7.926400412678088,18.533212688278383
75,Microsoft,Intel i7,32,256GB SSD,AMD Radeon RX 6800,17.3,3840x2160,4.3,1.72,Linux,3745.39,75,256.0,SSD,1,3,4,1975.2035489361701,8.228547988636643,9.905920202723369
76,Dell,Intel i9,32,1TB HDD,Nvidia RTX 2060,14.0,3840x2160,6.1,3.06,macOS,3556.24,76,1024.0,HDD,0,4,5,1972.2702222222224,8.176740242261543,10.16164574615704
77,Asus,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,7.8,3.06,macOS,782.66,77,2048.0,SSD,1,2,4,1927.3151416309015,6.663975252817485,1.762637867536862
78,Samsung,Intel i3,8,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,7.2,2.54,FreeDOS,863.34,78,512.0,SSD,1,1,3,1959.007248495271,6.761966209914469,2.641999015048204
79,MSI,Intel i3,8,512GB SSD,AMD Radeon RX 6600,13.3,3840x2160,5.9,1.33,macOS,1784.77,79,512.0,SSD,1,1,3,2517.552226890756,7.487604973748369,2.641999015048204
80,Lenovo,Intel i3,4,1TB SSD,Nvidia RTX 3060,16.0,2560x1440,7.2,3.43,macOS,1164.94,80,1024.0,SSD,1,1,6,1978.465790393013,7.061282907610444,1.6810624586899519
81,Microsoft,Intel i3,8,1TB HDD,Nvidia GTX 1650,14.0,3840x2160,9.6,1.83,Windows,1247.91,81,1024.0,HDD,0,1,2,1975.2035489361701,7.130026449883184,2.58394897018595
82,Asus,Intel i9,32,512GB SSD,Nvidia RTX 2060,16.0,1366x768,8.3,2.8,Windows,2480.96,82,512.0,SSD,1,4,5,1927.3151416309015,7.816803849599233,10.16164574615704
83,Acer,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 2060,13.3,1366x768,10.7,1.84,macOS,1159.62,83,512.0,SSD,1,3,5,1914.1085150214592,7.056709624073997,3.1534501019155456
84,Asus,AMD Ryzen 7,16,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,4.7,1.46,Windows,1947.07,84,2048.0,SSD,1,3,7,1927.3151416309015,7.574594417848441,5.539723573530078
85,Microsoft,Intel i7,32,2TB SSD,AMD Radeon RX 6600,16.0,1920x1080,11.8,1.48,FreeDOS,2113.62,85,2048.0,SSD,1,3,3,1975.2035489361701,7.656630406307231,9.847870157861115
86,Acer,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 2060,17.3,1366x768,9.9,1.69,Windows,1486.61,86,1024.0,HDD,0,1,5,1914.1085150214592,7.304926084265482,18.64931277800289
87,Apple,AMD Ryzen 9,4,2TB SSD,Integrated,13.3,2560x1440,11.2,1.61,Windows,1804.49,87,2048.0,SSD,1,4,1,2915.3642789223454,7.4985873020702165,1.983838730092936
88,Lenovo,AMD Ryzen 5,4,512GB SSD,AMD Radeon RX 6600,14.0,1366x768,11.2,3.02,FreeDOS,691.35,88,512.0,SSD,1,2,3,1978.465790393013,6.540091608100723,1.7045878226746083
89,Asus,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3080,13.3,1366x768,8.5,1.42,FreeDOS,789.61,89,1024.0,SSD,1,2,7,1927.3151416309015,6.672804799403893,3.0718746930686356
90,Razer,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6600,13.3,2560x1440,4.1,1.44,Linux,2312.14,90,2048.0,SSD,1,3,3,2695.213804444444,7.746361187853251,3.037350012191039
91,Dell,AMD Ryzen 5,32,2TB SSD,Nvidia RTX 3060,16.0,1920x1080,4.2,1.52,macOS,1748.97,91,2048.0,SSD,1,2,6,1972.2702222222224,7.4673539239134765,9.824344793876458
92,Apple,Intel i9,16,1TB HDD,AMD Radeon RX 6800,16.0,2560x1440,9.4,2.65,FreeDOS,3428.94,92,1024.0,HDD,0,4,4,2915.3642789223454,8.140298047295616,5.563248937514736
93,Dell,AMD Ryzen 3,8,1TB SSD,Nvidia RTX 3060,14.0,3840x2160,9.4,1.69,macOS,1340.49,93,1024.0,SSD,1,1,6,1972.2702222222224,7.201536215495741,2.816149149634964
94,Asus,Intel i5,16,1TB SSD,Nvidia RTX 3060,15.6,3840x2160,6.4,3.31,macOS,2120.59,94,1024.0,SSD,1,2,6,1927.3151416309015,7.659921086556604,5.283998030096408
95,Apple,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,8.6,2.55,macOS,3496.93,95,2048.0,SSD,1,1,7,2915.3642789223454,8.15992664394321,9.684719340167295
96,Samsung,Intel i3,8,256GB SSD,Nvidia RTX 3080,17.3,1920x1080,10.1,2.45,Linux,972.19,96,256.0,SSD,1,1,7,1959.007248495271,6.880579335476386,2.874199194497218
97,Lenovo,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,14.0,2560x1440,11.5,1.51,macOS,3038.1,97,512.0,SSD,1,2,4,1978.465790393013,8.019316697936457,18.788938231712052
98,Asus,AMD Ryzen 7,64,1TB SSD,Nvidia RTX 3080,17.3,1366x768,7.9,1.77,Windows,2793.54,98,1024.0,SSD,1,3,7,1927.3151416309015,7.93542279243805,19.160763864870233
99,Asus,Intel i7,64,256GB SSD,Nvidia RTX 3060,15.6,1366x768,10.5,2.43,Windows,2821.78,99,256.0,SSD,1,3,6,1927.3151416309015,7.945477493937908,19.102713820007978
100,Apple,Intel i5,32,1TB SSD,Integrated,17.3,1366x768,7.1,1.73,Windows,1548.95,100,1024.0,SSD,1,2,1,2915.3642789223454,7.345977951328473,9.534094569565191
101,Dell,AMD Ryzen 5,4,1TB SSD,Integrated,15.6,2560x1440,11.8,3.45,FreeDOS,962.25,101,1024.0,SSD,1,2,1,1972.2702222222224,6.870312983506267,1.5884877329501013
102,Razer,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,10.7,1.7,macOS,5173.63,102,256.0,SSD,1,3,7,2695.213804444444,8.551523117992955,10.08007033731013
103,Dell,Intel i5,64,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,10.1,1.78,FreeDOS,2240.32,103,256.0,SSD,1,2,3,1972.2702222222224,7.714820257002726,18.7308881868498
104,MSI,AMD Ryzen 3,16,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,10.8,2.82,Windows,2354.8,104,512.0,SSD,1,1,4,2517.552226890756,7.764635651524684,4.970222441800483
105,Acer,Intel i7,8,256GB SSD,Nvidia RTX 3080,15.6,3840x2160,5.8,1.52,macOS,2358.06,105,256.0,SSD,1,3,7,1914.1085150214592,7.76601851359037,3.269550191640053
106,HP,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.7,1.48,Linux,4813.04,106,256.0,SSD,1,3,4,1938.5187334437085,8.47929192740696,18.98661373028347
107,MSI,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,10.8,3.22,FreeDOS,2792.77,107,512.0,SSD,1,2,4,2517.552226890756,7.935147217172943,18.788938231712052
108,Microsoft,Intel i3,32,1TB SSD,Nvidia RTX 3060,17.3,3840x2160,4.5,2.95,Linux,2567.52,108,1024.0,SSD,1,1,6,1975.2035489361701,7.851085136522909,9.62666929530504
109,HP,Intel i3,8,256GB SSD,Nvidia RTX 3060,17.3,1920x1080,5.3,1.97,FreeDOS,914.84,109,256.0,SSD,1,1,6,1938.5187334437085,6.819841676928031,2.816149149634964
110,Microsoft,Intel i7,4,1TB SSD,Nvidia RTX 3080,17.3,2560x1440,11.0,2.44,Windows,1602.39,110,1024.0,SSD,1,3,7,1975.2035489361701,7.37987541684249,2.13446350069504
111,Microsoft,AMD Ryzen 9,64,256GB SSD,Integrated,17.3,1920x1080,9.5,2.99,Linux,2922.91,111,256.0,SSD,1,4,1,1975.2035489361701,7.980677040642201,19.010139094268126
112,HP,AMD Ryzen 3,8,256GB SSD,Nvidia GTX 1650,16.0,1920x1080,11.0,2.82,FreeDOS,873.57,112,256.0,SSD,1,1,2,1938.5187334437085,6.77373233699559,2.58394897018595
113,MSI,Intel i3,4,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,5.5,1.38,FreeDOS,1119.51,113,2048.0,SSD,1,1,5,2517.552226890756,7.021539217788396,1.6230124138276982
114,Lenovo,Intel i9,32,256GB SSD,Nvidia GTX 1650,15.6,3840x2160,9.2,1.61,FreeDOS,4857.55,114,256.0,SSD,1,4,2,1978.465790393013,8.488495318468692,9.987495611570278
115,MSI,AMD Ryzen 5,8,1TB HDD,Integrated,16.0,3840x2160,5.8,2.48,macOS,1407.17,115,1024.0,HDD,0,2,1,2517.552226890756,7.250046268066029,2.7235744238951143
116,Lenovo,Intel i7,4,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,5.4,1.75,Windows,938.96,116,2048.0,SSD,1,3,4,1978.465790393013,6.8458373211671475,1.9603133661082792
117,Asus,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 3060,17.3,3840x2160,9.2,3.3,Linux,1565.19,117,2048.0,SSD,1,2,6,1927.3151416309015,7.356401197415851,1.8787379572613692
118,Lenovo,AMD Ryzen 3,64,256GB SSD,AMD Radeon RX 6600,13.3,3840x2160,10.9,1.99,FreeDOS,3422.47,118,256.0,SSD,1,1,3,1978.465790393013,8.13840993556084,18.533212688278383
119,Samsung,AMD Ryzen 3,64,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,7.5,1.91,Linux,2478.83,119,512.0,SSD,1,1,2,1959.007248495271,7.815945288422383,18.47516264341613
120,Razer,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,10.5,1.88,FreeDOS,3180.88,120,1024.0,SSD,1,4,6,2695.213804444444,8.065227496055877,5.679349027239243
121,Microsoft,AMD Ryzen 7,8,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.7,2.82,Linux,1696.83,121,2048.0,SSD,1,3,4,1975.2035489361701,7.437106244073543,3.0954000570532925
122,Asus,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3060,15.6,3840x2160,10.6,1.81,FreeDOS,2687.06,122,512.0,SSD,1,3,6,1927.3151416309015,7.896575022822492,5.481673528667825
123,HP,Intel i3,4,1TB HDD,AMD Radeon RX 6600,14.0,2560x1440,4.9,2.04,macOS,922.21,123,1024.0,HDD,0,1,3,1938.5187334437085,6.827856727584252,1.506912324103191
124,Razer,Intel i3,32,1TB HDD,AMD Radeon RX 6600,14.0,1920x1080,4.9,3.2,FreeDOS,1489.43,124,1024.0,HDD,0,1,3,2695.213804444444,7.306819947909274,9.45251916071828
125,Razer,AMD Ryzen 7,64,1TB HDD,AMD Radeon RX 6800,14.0,3840x2160,10.1,2.8,Linux,5766.77,125,1024.0,HDD,0,3,4,2695.213804444444,8.66004080299638,18.98661373028347
126,Asus,AMD Ryzen 3,32,1TB SSD,Nvidia RTX 3080,16.0,3840x2160,4.4,1.75,Windows,2490.41,126,1024.0,SSD,1,1,7,1927.3151416309015,7.8206040942514345,9.684719340167295
127,MSI,Intel i9,64,512GB SSD,Integrated,17.3,2560x1440,4.7,1.38,FreeDOS,4705.97,127,512.0,SSD,1,4,1,2517.552226890756,8.456799667894535,19.010139094268126
128,Lenovo,Intel i7,64,512GB SSD,AMD Radeon RX 6800,16.0,2560x1440,8.0,2.14,macOS,4036.38,128,512.0,SSD,1,3,4,1978.465790393013,8.303351245726995,18.98661373028347
129,MSI,AMD Ryzen 3,4,1TB HDD,Nvidia GTX 1650,16.0,2560x1440,6.5,1.89,Windows,1261.77,129,1024.0,HDD,0,1,2,2517.552226890756,7.1410629996705675,1.4488622792409376
130,Samsung,AMD Ryzen 5,8,1TB HDD,Integrated,17.3,1366x768,11.0,2.66,Linux,620.44,130,1024.0,HDD,0,2,1,1959.007248495271,6.432039365662906,2.7235744238951143
